ID,LABEL
1,Australian Tropical Territories
2,Australian Southern Ocean Territories
3,New Caledonia
4,Vanuatu
5,Solomon Islands
6,Palau
7,Micronesia
8,Nauru
9,Marshall Islands
10,Taiwan
11,Philippines
12,Australia
13,Papua New Guinea
14,Fiji
15,Tuvalu
16,South Korea
17,North Korea
18,Cambodia
19,Thailand
20,Comoros
21,French Indian Ocean Territories
22,Seychelles
23,Mauritius
24,British Indian Ocean Territory
25,Maldives
26,Sri Lanka
27,Mozambique
28,Madagascar
29,Kenya
30,Somalia
31,Eritrea
32,Djibouti
33,Yemen
34,Oman
35,Sudan
36,Saudi Arabia
37,Kuwait
38,Bahrain
39,Pakistan
40,United Arab Emirates
41,Cape Verde
42,Belgium
43,Gibraltar
44,Tunisia
45,Morocco
46,Western Sahara
47,Mauritania
48,Gambia
49,Senegal
50,Libya
51,Malta
52,Latvia
53,Estonia
54,Bulgaria
55,Romania
56,Russia
57,Georgia
58,Ukraine
59,Turkey
60,Syria
61,Lebanon
62,Israel
63,Greece
64,Cyprus
65,Albania
66,Algeria
67,French Southern Ocean Territories
68,British Southern Ocean Territories
69,Sierra Leone
70,Liberia
71,Togo
72,Benin
73,Republic of the Congo
74,Namibia
75,South Africa
76,Sao Tome and Principe
77,Equatorial Guinea
78,Ghana
79,Clipperton Island
80,Bahamas
81,Cuba
82,Haiti
83,Dominican Republic
84,USA Caribbean Territories
85,British Caribbean Territories
86,Saint Kitts and Nevis
87,Antigua and Barbuda
88,Saint Lucia
89,Dominica
90,Barbados
91,Grenada
92,Trinidad and Tobago
93,Saint Vincent and the Grenadines
94,Netherlands Caribbean Territories
95,Panama
96,Costa Rica
97,Nicaragua
98,Colombia
99,Honduras
100,El Salvador
101,Mexico
102,Guatemala
103,Ecuador
104,Peru
105,Venezuela
106,French Caribbean Territories
107,Iceland
108,British Pacific Territories (Pitcairn)
109,French Polynesia
110,Jarvis Island
111,USA Pacific Inhabited Territories
112,Samoa
113,Tonga
114,USA Pacific Uninhabited Territories
115,New Zealand
116,United States
117,Belize
118,Jamaica
119,Guyana
120,Suriname
121,French Guiana
122,Brazil
123,Argentina
124,Uruguay
125,Finland
126,Denmark
127,Germany
128,Netherlands
129,Poland
130,France
131,United Kingdom
132,Ireland
133,Spain
134,Portugal
135,Italy
136,Monaco
137,Serbia and Montenegro
138,Croatia
139,Slovenia
140,Lithuania
141,Qatar
142,Iran
143,Iraq
144,Guinea-Bissau
145,Guinea
146,Ivory Coast
147,Nigeria
148,Cameroon
149,Gabon
150,Democratic Republic of the Congo
151,Angola
152,Tanzania
153,India
154,Bangladesh
155,Myanmar
156,Malaysia
157,Vietnam
158,Singapore
159,China
160,Japan
161,Kiribati
162,Antarctica
163,Egypt
164,Jordan
165,Indonesia
166,Canada
167,Saint Pierre and Miquelon
168,Sweden
169,Norway
170,Chile
171,East Timor
172,Bosnia and Herzegovina
173,Deleted
174,Disputed
175,Arctic
176,Atlantic
177,Atlantic
178,Atlantic
179,Indian
180,Pacific
181,Pacific
182,Pacific
183,Atlantic
184,Indian
185,Pacific
186,Unclaimed
